saved_at,id,created_at,text,name,screen_name,profile_image_url,retweet_count,favorite_count
2018-11-02_11:43:11,1057753049635074048,Wed Oct 31 21:55:53 +0000 2018,ワインツーリズムやまなしの申込みをしたが、なぜか会員情報がなくなっているようでログインもパスワード検索もできなかった。そういえばいつの頃からかDMが届かなくなり、今回の申し込み開始もそろそろかなと思って検索したのだった。,エスペラ,proten2199,http://pbs.twimg.com/profile_images/992023968306483205/upCEBT3Z_normal.jpg,0,0
2018-11-02_11:43:11,1057557860505260032,Wed Oct 31 09:00:17 +0000 2018,ワインツーリズムやまなし2018・秋 https://t.co/8bJx9dLmAM,べーグル奏風(かなた),kanata_bagel,http://pbs.twimg.com/profile_images/3513671489/371d2ddc097aa72e51936d0bf04da49f_normal.jpeg,0,0
2018-11-02_11:43:12,929233280519479298,Sat Nov 11 06:24:13 +0000 2017,楽しいデス,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
2018-11-02_11:43:12,929231717004591104,Sat Nov 11 06:18:00 +0000 2017,今年３回目毎年楽しい〜,winetourism01,winetourism01,http://pbs.twimg.com/profile_images/928640020335902721/nhF7WBVg_normal.jpg,0,0
